short_name,long_name,age,nationality_name,club_name,player_positions,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,height_cm,weight_kg,preferred_foot
B. Duke,Bryce Duke,24,United States,CF Montréal,"CAM, CM",65,71,1100000,2000,58.0,57.0,68.0,70.0,46.0,43.0,170,66,Right
R. Benson,Robert Benson,33,Republic of Ireland,Derry City,"CAM, CM, CDM",59,59,140000,500,47.0,61.0,61.0,59.0,51.0,56.0,178,75,Left
X. Amaechi,Xavier Casmier Amaechi,24,England,Plymouth Argyle,"RW, RM, CAM",68,72,1700000,2000,75.0,62.0,64.0,73.0,31.0,54.0,179,76,Left
A. Beck,Asker Beck Jensen,21,Denmark,Viborg FF,"CM, CAM",62,73,900000,2000,66.0,59.0,61.0,65.0,54.0,49.0,184,70,Right
M. Pedersen,Mats Pedersen,20,Norway,Hamarkameratene,"CAM, CM",61,76,800000,750,72.0,57.0,59.0,64.0,43.0,57.0,174,65,Left
J. Masanka Bungi,Joyeux Masanka Bungi,18,Belgium,RB Leipzig,"LM, LW",61,79,825000,6000,67.0,51.0,61.0,58.0,50.0,61.0,186,78,Left
T. Edwards,Thomas Adam Edwards,26,England,Salford City,"CB, RB",62,64,425000,900,55.0,46.0,58.0,58.0,60.0,69.0,175,76,Right
Borja Galán,Borja Galán González,32,Spain,GKS Katowice,"LM, LW",65,65,575000,2000,75.0,61.0,60.0,63.0,33.0,65.0,182,76,Right
O. Patrick,Omari Joshua Curtis Patrick,29,England,Tranmere Rovers,"LM, LB, LW",64,64,575000,800,83.0,61.0,55.0,63.0,27.0,70.0,185,76,Right
L. Ralte,Lalengmawia Ralte,24,India,Mohun Bagan Super Giant,"CM, CDM, CAM",65,69,1000000,1000,56.0,52.0,59.0,62.0,60.0,70.0,177,68,Right
L. Bazzoli,Luca Juliano Bazzoli,24,Germany,Rot-Weiss Essen,"CDM, CM, CB",67,71,1300000,1000,58.0,41.0,53.0,62.0,68.0,74.0,188,82,Right
W. Faes,Wout Felix Lina Faes,27,Belgium,Leicester City,CB,73,74,3100000,32000,52.0,39.0,54.0,60.0,73.0,75.0,187,82,Right
M. Grzybek,Mateusz Grzybek,29,Poland,Zagłębie Lubin,"RB, LB, RM",63,63,425000,1000,75.0,46.0,59.0,63.0,58.0,60.0,180,77,Right
L. Millán,Giovanni Lautaro Millán,19,Argentina,Independiente,"CAM, CM, RM",63,78,1100000,2000,65.0,49.0,66.0,63.0,46.0,59.0,169,65,Right
Fabiano Sonta,Fabiano Elton Sonta Pessoa,29,Brazil,Fluminense,"CB, CDM",72,72,2000000,14000,46.0,41.0,56.0,53.0,74.0,71.0,181,82,Right
A. Izzo,Armando Izzo,33,Italy,Monza,CB,73,73,1500000,5000,43.0,37.0,49.0,65.0,75.0,73.0,183,78,Right
U. Spajić,Uroš SpajićУрош Спајић,32,Serbia,Beijing Guoan,CB,68,68,775000,10000,53.0,40.0,53.0,63.0,68.0,74.0,188,83,Right
Lucas Ribeiro,Lucas Ribeiro Costa,26,Brazil,Cultural Leonesa,"CAM, RM, CM",68,71,1600000,5000,73.0,64.0,64.0,68.0,27.0,54.0,181,70,Left
L. Fröde,Lukas Thomas Fröde,30,Germany,FC Ingolstadt 04,"CDM, CM",66,66,725000,1000,35.0,48.0,57.0,57.0,65.0,80.0,192,86,Right
N. Adedeji-Sternberg,Noah Adedeji-Sternberg,20,Belgium,KRC Genk,"LM, LW",67,83,2700000,8000,88.0,66.0,58.0,72.0,24.0,53.0,183,68,Right
A. Emakhu,Aidomo Emakhu,21,Republic of Ireland,Millwall FC,"LM, LW",64,75,1300000,7000,82.0,60.0,55.0,65.0,38.0,63.0,180,82,Right
D. Bernard,Di'Shon Joel Bernard,24,Jamaica,Sheffield Wednesday,CB,69,77,2900000,5000,65.0,40.0,54.0,60.0,68.0,76.0,189,84,Right
Pibe,Agustín Emanuel Pastoriza Cacabelos,29,Argentina,Cultural Leonesa,"LM, RM, LW",65,65,700000,3000,74.0,62.0,61.0,66.0,28.0,59.0,178,71,Left
C. Nelson,Curtis Alexander Nelson,32,England,Derby County,CB,69,69,900000,10000,62.0,36.0,51.0,56.0,68.0,80.0,183,74,Right
André Ceitil,André Filipe Castanheira Ceitil,30,Portugal,CD Tondela,"CDM, CM",67,67,850000,4000,56.0,48.0,60.0,61.0,66.0,65.0,184,78,Right
T. Arconte,Taïryk Arconte,21,France,Rodez Aveyron Football,"RM, ST, RW",65,74,1600000,1000,71.0,66.0,59.0,68.0,28.0,61.0,181,76,Right
G. Kyeremeh,Godson Kyeremeh,25,France,Le Havre AC,"RM, LM, ST, RW",66,69,1100000,5000,86.0,62.0,59.0,67.0,32.0,41.0,175,60,Right
A. Fiori,Antonio Fiori,22,Italy,Mantova,"LM, LW",68,76,2700000,2000,75.0,66.0,61.0,72.0,28.0,50.0,180,70,Right
T. Børkeeiet,Tobias Borchgrevink Børkeeiet,26,Norway,SK Rapid,"CDM, CB, CM",63,68,625000,4000,48.0,50.0,57.0,57.0,62.0,72.0,188,81,Right
G. Harmon,George Harmon,24,England,Cheltenham Town,"LB, LM",63,66,600000,700,69.0,45.0,60.0,59.0,58.0,60.0,180,72,Left
C. Brym,Charles-Andreas Brym,26,Canada,NAC Breda,"ST, LM",66,67,1000000,4000,84.0,65.0,54.0,66.0,28.0,65.0,185,68,Right
H. Falchener,Henrik Sælebakke Falchener,22,Norway,Viking FK,CB,65,78,1700000,1000,64.0,46.0,54.0,57.0,62.0,73.0,195,80,Right
T. Golliard,Théo Golliard,22,Switzerland,FC Winterthur,"CAM, CM, RM",67,73,1600000,4000,67.0,61.0,65.0,65.0,41.0,46.0,174,65,Right
S. Soumano,Sambou Soumano,24,Senegal,FC Lorient,ST,71,78,3800000,12000,70.0,73.0,55.0,73.0,28.0,56.0,182,75,Right
J. Marković,Jovan MarkovićЈован Марковић,24,Romania,FCV Farul Constanța,"ST, CAM",63,66,675000,1000,73.0,61.0,52.0,63.0,31.0,69.0,183,75,Right
B. Edjeodji,Bismark Junior Edjeodji,18,Ghana,Vejle Boldklub,"CM, LW, ST",62,78,1000000,2000,80.0,58.0,58.0,64.0,49.0,58.0,181,71,Right
Adilson,Adilson Mendes-Martins,28,Portugal,Córdoba CF,"LW, LM",68,68,1200000,6000,84.0,62.0,62.0,71.0,31.0,48.0,169,60,Right
J. Sietan,Janne Sietan,23,Germany,SV Waldhof Mannheim,"CDM, CM, CAM",63,72,1000000,500,62.0,52.0,55.0,60.0,59.0,73.0,185,79,Right
Kim Shin Jin,Shin-jin Kim김신진,23,Korea Republic,Gangwon FC,"ST, CM, CB",59,64,350000,1000,62.0,55.0,52.0,58.0,51.0,72.0,186,82,Right
Raphael,Raphael Borges Rodrigues,21,Australia,Wigan Athletic,"LM, RM, LW",63,75,1200000,8000,84.0,55.0,53.0,67.0,37.0,66.0,173,70,Right
M. Wels,Moritz Wels,20,Austria,WSG Tirol,"CAM, CM",63,73,1100000,2000,68.0,61.0,61.0,64.0,31.0,62.0,185,76,Left
B. Bjarkason,Bjarki Steinn Bjarkason,25,Iceland,Venezia,"RM, LM, LB, RB",64,65,700000,1000,63.0,58.0,63.0,67.0,48.0,51.0,180,71,Right
B. Krauhaus,Ben Krauhaus,20,England,Bromley,"RM, CM, RW",61,73,800000,9000,75.0,56.0,58.0,62.0,48.0,57.0,177,74,Left
D. Lukács,Dániel Lukács,29,Hungary,,"ST, CAM",67,67,0,0,72.0,68.0,57.0,66.0,27.0,61.0,182,74,Left
D. Diani,Djibril Diani,27,France,Charlotte FC,"CDM, CM",67,70,1200000,4000,62.0,45.0,58.0,61.0,64.0,78.0,195,75,Left
Marcos Peña,Marcos Peña Ocaña,20,Spain,Famalicão,CM,61,77,850000,2000,63.0,53.0,61.0,65.0,53.0,46.0,180,66,Right
J. Hjertø-Dahl,Jens Hjertø-Dahl,19,Norway,Tromsø IL,CM,64,79,1400000,1000,46.0,60.0,61.0,60.0,62.0,66.0,193,80,Right
S. Karchoud,Sami Jalal Karchoud,20,Denmark,Viborg FF,"RW, LW, RB, RM",62,73,875000,3000,80.0,57.0,55.0,62.0,49.0,57.0,185,72,Right
F. Roa Conchie,Fin Ngahina Roa Conchie,21,New Zealand,Wellington Phoenix,CM,57,68,375000,650,67.0,46.0,57.0,57.0,51.0,73.0,176,72,Right
S. Hogan,Scott Andrew Hogan,33,Republic of Ireland,Milton Keynes Dons,ST,62,62,250000,1000,77.0,60.0,54.0,61.0,34.0,65.0,180,73,Right
M. Siltanen,Matias Siltanen,18,Finland,Djurgårdens IF,"CDM, CM",66,83,2100000,2000,69.0,55.0,56.0,62.0,61.0,62.0,175,67,Right
D. Sîrbu,Dan Sîrbu,22,Romania,FCV Farul Constanța,"RB, RM",65,71,1100000,1000,70.0,40.0,61.0,61.0,61.0,71.0,186,79,Right
Wang Ziming,Wang Ziming王子铭,28,China PR,Beijing Guoan,"ST, CAM",62,62,400000,5000,82.0,60.0,50.0,62.0,32.0,71.0,187,81,Right
Fábio Tavares,Fábio André Tavares Desidério,24,Portugal,Burton Albion,"ST, RM",63,70,975000,1000,84.0,64.0,58.0,67.0,30.0,56.0,180,70,Right
I. Cameron,Innes Cameron,24,Scotland,Barrow,ST,61,65,475000,650,53.0,61.0,55.0,57.0,47.0,73.0,190,75,Right
C. Daferner,Christoph Daferner,27,Germany,Dynamo Dresden,ST,69,70,1600000,7000,56.0,69.0,52.0,66.0,34.0,77.0,189,85,Right
I. Davies,Isaak James Davies,23,Wales,Cardiff City,"ST, RM, RW",67,74,2100000,2000,82.0,66.0,54.0,68.0,24.0,57.0,175,65,Right
Javi Llabrés,Javier Llabrés Exposito,22,Spain,RCD Mallorca,"LM, LW",69,78,3100000,13000,79.0,60.0,62.0,69.0,32.0,52.0,174,67,Right
J. Horn,Jannes-Kilian Horn,28,Germany,SK Rapid,"LB, CB, LM",69,69,1300000,9000,72.0,28.0,55.0,65.0,67.0,72.0,186,79,Left
Brenner,Brenner Lucas Gonçalves Santos,23,Brazil,Santa Clara,"LW, RW, LM",67,72,1500000,4000,78.0,62.0,59.0,70.0,28.0,54.0,171,63,Right
T. Anselm,Tobias Anselm,25,Austria,WSG Tirol,"ST, LW",62,67,600000,3000,77.0,60.0,59.0,63.0,41.0,60.0,186,75,Right
Sergi Samper,Sergi Samper Montaña,30,Spain,Motor Lublin,"CDM, CM",68,68,1000000,4000,39.0,44.0,66.0,65.0,63.0,64.0,181,71,Right
M. Clark,Mitchell Reece Clark,26,Wales,Port Vale,"RB, RM",61,62,350000,650,72.0,44.0,54.0,60.0,56.0,61.0,173,69,Right
D. Codrea,Dorin Codrea,28,Romania,Universitatea Cluj,"CDM, CM, CB",62,62,350000,1000,63.0,51.0,54.0,56.0,63.0,68.0,185,79,Right
P. Camacho,Pablo Jesús Camacho Figueira,34,Venezuela,Deportivo Táchira,"CB, RB",63,63,160000,6000,61.0,43.0,56.0,54.0,63.0,67.0,177,81,Right
E. Coleman,Ethan Jay Coleman,25,England,Gillingham,"CDM, CM",62,66,500000,1000,66.0,47.0,55.0,57.0,59.0,74.0,185,83,Right
C. Valerius,Cherrion Valerius,19,Netherlands,NAC Breda,"RB, CB, RM",66,78,1900000,2000,69.0,40.0,55.0,61.0,63.0,70.0,192,78,Right
P. Hannola,Pyry Petteri Hannola,23,Finland,FK Haugesund,CM,62,65,550000,900,67.0,55.0,61.0,63.0,50.0,56.0,185,79,Left
I. Russo,Ignacio Russo Cordero,24,Argentina,Tigre,"ST, CAM, CM",67,70,1400000,6000,73.0,66.0,51.0,67.0,32.0,66.0,175,77,Right
F. Stojilković,Filip StojilkovićФилип Стојилковић,25,Switzerland,Cracovia,ST,67,71,1400000,5000,84.0,67.0,49.0,66.0,29.0,66.0,186,80,Right
M. Mbaye,Malick Mbaye,21,Senegal,FC Metz,"RM, RW",65,78,1800000,3000,82.0,64.0,58.0,65.0,29.0,59.0,173,68,Right
M. Wolski,Maciej Wolski,28,Poland,Bruk-Bet Termalica Nieciecza,"LM, LB, RB, LW",63,63,475000,1000,72.0,48.0,58.0,61.0,57.0,65.0,176,67,Right
Pedro Borges,Pedro Elawar Félix Gonçalves Borges,19,Portugal,Exeter City,"CM, RM, CAM",58,69,450000,500,73.0,50.0,54.0,61.0,53.0,68.0,188,70,Right
Jonathan Silva,Jonathan Silva Pertinhes,21,Brazil,Padova,"CM, RW, RM, CAM",64,75,1300000,7000,67.0,55.0,57.0,64.0,55.0,62.0,186,75,Left
B. Reyna,Roberto Bryan Reyna Casaverde,26,Peru,Belgrano de Córdoba,"LM, ST, RM, LW",71,71,2000000,10000,89.0,65.0,58.0,75.0,30.0,49.0,171,66,Right
L. Schouten,Lewis Schouten,21,Netherlands,Excelsior,"CB, CDM, CM",62,74,925000,3000,68.0,47.0,59.0,59.0,60.0,66.0,191,78,Right
S. Smith,Scott William Smith,24,Wales,Barrow,"CDM, CM",62,67,550000,650,60.0,51.0,58.0,61.0,58.0,62.0,173,70,Right
F. Batista,Facundo Agustín Batista Ochoa,26,Uruguay,Atlético Nacional,ST,72,75,3100000,22000,65.0,74.0,56.0,66.0,23.0,60.0,180,75,Right
Kim Jung Min,Jung-min Kim김정민,25,Korea Republic,Jeju United FC,"CM, CDM, CAM",59,64,325000,1000,56.0,54.0,60.0,58.0,55.0,63.0,182,80,Right
I. Karamoko,Ibrahim Karamoko,24,France,Standard de Liège,"CDM, CB, CM",61,66,450000,3000,61.0,47.0,54.0,57.0,59.0,74.0,187,79,Right
Y. Al Shehri,Yahya Sulaiman Ali Al Shehriيحيى سليمان علي الشهري,35,Saudi Arabia,Al Riyadh,"RM, CM, CAM, RB",66,66,350000,5000,58.0,61.0,68.0,68.0,31.0,44.0,164,68,Left
J. Bokila,Jeremy Loteteka Bokila,36,Congo DR,Livingston FC,ST,65,65,240000,2000,71.0,63.0,53.0,61.0,31.0,71.0,188,81,Left
M. Hansen,Mattes Hansen,21,Germany,SC Paderborn 07,"CDM, CM, CB",67,76,2200000,4000,58.0,38.0,60.0,62.0,66.0,67.0,183,77,Right
L. Jaquez,Luca Antony Jaquez,22,Switzerland,VfB Stuttgart,CB,69,78,2900000,15000,64.0,42.0,52.0,62.0,68.0,71.0,187,80,Right
Genís,Genís Montolio Lafuente,28,Spain,FC Thun,"CB, RB, RM",66,67,800000,3000,60.0,37.0,61.0,59.0,67.0,64.0,183,76,Right
A. Douglas,Alex Raymond Douglas,23,Sweden,Lech Poznań,CB,68,75,2200000,5000,81.0,33.0,53.0,62.0,67.0,75.0,190,88,Left
B. Moe,Brede Mathias Moe,33,Norway,FK Bodø/Glimt,CB,70,70,750000,5000,52.0,44.0,53.0,58.0,69.0,77.0,184,80,Right
I. Bangoura,Ibrahima Sory Bangoura,21,Guinea,KRC Genk,"CDM, CM",70,84,3700000,10000,63.0,41.0,57.0,56.0,68.0,77.0,190,79,Right
J. Sánchez Purata,Juan José Sánchez Purata,27,Mexico,,CB,72,75,0,0,53.0,48.0,51.0,55.0,72.0,72.0,180,77,Right
M. Maidana,Mauro Ángel Maidana,34,Argentina,Deportivo Táchira,"CB, LB, LM",68,68,400000,11000,68.0,35.0,53.0,61.0,69.0,69.0,176,70,Left
A. García MacNulty,Anselmo García MacNulty,22,Republic of Ireland,PEC Zwolle,"CB, LB, LM",68,81,2800000,4000,65.0,35.0,56.0,61.0,67.0,77.0,187,78,Left
A. Țigănașu,Alexandru Țigănașu,35,Romania,FC Botoşani,"LB, LM",60,60,80000,500,54.0,50.0,57.0,54.0,55.0,68.0,179,74,Left
Rafael Lobato,Rafael Genuino Lobato,19,Brazil,Rio Ave FC,"RW, LW, RM",63,78,1100000,2000,69.0,66.0,58.0,66.0,33.0,58.0,170,71,Left
Rodrigo Henrique,Rodrigo Henrique Santana da Silva,31,Brazil,Meizhou Hakka,"CAM, LM, ST, CM",68,68,1000000,6000,82.0,59.0,60.0,76.0,28.0,62.0,180,77,Right
I. Wisdom,Ian Wisdom Pestana,19,Peru,Sporting Cristal,"CDM, CM",65,76,1500000,5000,69.0,47.0,59.0,63.0,60.0,55.0,168,61,Right
D. Lembikisa,Dexter Joeng Woo Lembikisa,21,Jamaica,Lincoln City,"RB, RM",64,76,1400000,10000,83.0,43.0,55.0,60.0,59.0,60.0,180,68,Right
S. Duke-McKenna,Stephen Winston Duke-McKenna,24,Guyana,Harrogate Town,"CAM, RM, LM, CM",59,63,325000,500,80.0,48.0,58.0,63.0,54.0,43.0,170,65,Right
D. Salifou,Dikeni-Rafid Salifou,22,Togo,SV Werder Bremen,"CDM, CM",64,76,1400000,6000,54.0,48.0,59.0,59.0,62.0,65.0,191,82,Right
Dani Escriche,Daniel Escriche Romero,27,Spain,Albacete Balompié,"ST, CAM, RM",66,67,1000000,4000,70.0,65.0,51.0,66.0,30.0,67.0,178,75,Right
D. Wilmering,Daniel Wilmering,24,Australia,Newcastle Jets,"LM, LB, LW",61,67,525000,750,72.0,46.0,58.0,60.0,54.0,64.0,178,60,Left
Loïc Williams,Loïc Williams Ntambue Kayumba Gironés,23,Spain,Granada CF,"CB, LB",70,77,3000000,5000,68.0,37.0,52.0,60.0,69.0,78.0,188,74,Left
Luis Chacón,Luis Rodríguez Chacón,25,Spain,Cultural Leonesa,"LM, CAM, LW",68,71,1600000,4000,77.0,66.0,66.0,67.0,25.0,47.0,174,60,Right
S. Silvera,Samuel Silvera,24,Australia,Middlesbrough,"LM, RM, LW",65,71,1100000,9000,72.0,59.0,58.0,69.0,36.0,60.0,173,69,Right
H. Leonard,Harry Paul Leonard,21,England,Peterborough United,ST,65,76,1600000,1000,73.0,66.0,51.0,65.0,36.0,59.0,184,72,Right
S. Tracey,Shilow Ethan Tracey,27,England,Crewe Alexandra,ST,61,62,375000,750,86.0,57.0,56.0,63.0,43.0,55.0,179,76,Right
M. de Brienne,Matteo de Brienne,23,Canada,GAIS,"LB, LM",63,70,925000,1000,73.0,55.0,52.0,60.0,58.0,59.0,170,67,Left
J. O'Sullivan,John Anthony James O'Sullivan,31,Republic of Ireland,Shelbourne FC,"RW, RM, CDM",59,59,190000,500,63.0,56.0,57.0,59.0,52.0,59.0,181,83,Right
J. Gölles,Julian Peter Gölles,25,Austria,TSV Hartberg,"RB, RM",61,64,400000,2000,71.0,54.0,52.0,56.0,58.0,68.0,190,76,Right
K. Kossa-Rienzi,Kalani Kossa-Rienzi,23,United States,Seattle Sounders FC,"RB, RM",63,71,1000000,2000,62.0,50.0,58.0,62.0,60.0,58.0,170,73,Right
Zheng Dalun,Zheng Dalun郑达伦,31,China PR,Henan FC,"RB, RM, LM",58,58,150000,2000,62.0,55.0,55.0,63.0,55.0,56.0,170,67,Right
T. Hata,Taiga Hata畑 大雅,23,Japan,Sint-Truidense VV,"LM, LB, LW",62,70,875000,3000,77.0,47.0,58.0,61.0,52.0,67.0,176,70,Right
J. von Moos,Julian Tobias Emilio Vonmoos,24,Switzerland,FC Luzern,"RW, ST, RM",66,72,1400000,5000,80.0,60.0,60.0,68.0,28.0,58.0,181,77,Left
T. Francois,Tyrese Jay Francois,24,Australia,Wigan Athletic,"CM, CDM",61,66,500000,850,65.0,44.0,58.0,67.0,58.0,55.0,173,65,Left
Bi Jinhao,Bi Jinhao毕津浩,34,China PR,Dalian Yingbo,"CB, ST",60,60,80000,4000,34.0,58.0,55.0,55.0,55.0,74.0,190,80,Right
F. Cassata,Francesco Cassata,27,Italy,Spezia,"CM, CAM",65,65,750000,2000,48.0,52.0,66.0,65.0,56.0,61.0,183,75,Right
N. Ohio,Noah Chidiebere Junior Anyanwu Ohio,22,Netherlands,FC Utrecht,ST,67,78,2300000,5000,88.0,65.0,51.0,67.0,25.0,67.0,185,76,Left
S. Murray,Simon Murray,33,Scotland,Dundee FC,ST,67,67,650000,4000,79.0,66.0,48.0,65.0,22.0,73.0,183,70,Right
M. Zoma,Mohamed Alì Zoma,21,Italy,1. FC Nürnberg,"ST, CAM",66,74,1900000,4000,82.0,63.0,54.0,69.0,27.0,58.0,174,68,Right
W. Benard,William Benard,22,France,Stade Lavallois Mayenne FC,"CM, CDM",59,69,500000,1000,65.0,44.0,61.0,59.0,56.0,61.0,182,75,Right
S. Van der Heyden,Siebe Van der Heyden,27,Belgium,KAA Gent,CB,73,75,3200000,13000,59.0,34.0,57.0,53.0,74.0,75.0,185,76,Left
D. dos Santos,Daniel Dos Santos Correia,22,Switzerland,FC Lugano,"CAM, CM, ST",66,74,1900000,4000,66.0,58.0,65.0,66.0,39.0,50.0,176,70,Right
Pedro Bondo,Pedro Bondo Francisco,20,Angola,Famalicão,"LB, LM",66,79,2000000,3000,79.0,40.0,54.0,67.0,59.0,64.0,176,70,Left
L. Jäger,Lukas Jäger,31,Austria,SC Rheindorf Altach,"CDM, CM",63,63,325000,3000,62.0,45.0,56.0,59.0,62.0,73.0,184,76,Right
Maestre,Sergio Maestre García,34,Spain,Cultural Leonesa,"CDM, CM, CB",64,64,200000,3000,44.0,54.0,62.0,56.0,61.0,70.0,187,77,Left
I. Koné,Ibrahima Koné,26,Mali,UD Almería,ST,67,70,1300000,4000,73.0,67.0,50.0,64.0,31.0,77.0,190,83,Left
J. Laso,Joaquín Marcelo Laso,34,Argentina,Tigre,CB,70,70,525000,8000,56.0,41.0,53.0,58.0,68.0,79.0,185,75,Right
Carlos Jatobá,Carlos Eduardo Bacila Jatobá,29,Brazil,Daegu FC,"CDM, CM",64,64,500000,2000,61.0,47.0,56.0,55.0,60.0,78.0,183,78,Left
Rim Chang Woo,Chang-woo Rim임창우,33,Korea Republic,Jeju United FC,"CB, RB, RM",61,61,160000,2000,70.0,48.0,52.0,60.0,59.0,72.0,184,79,Right
G. Scalvini,Giorgio Scalvini,21,Italy,Atalanta,CB,77,86,22000000,39000,55.0,35.0,57.0,61.0,80.0,71.0,194,75,Right
L. Engelns,Luis Engelns,18,Germany,SC Paderborn 07,"CM, RM, CDM",62,78,1000000,2000,61.0,52.0,60.0,63.0,56.0,58.0,188,74,Right
Z. Hawsawi,Zakaria Seraj Hawsawiزكريا سراج هوساوي,24,Saudi Arabia,Al Ahli SFC,"LB, LM",65,72,1400000,9000,91.0,34.0,53.0,72.0,56.0,65.0,173,70,Left
L. Jakirović,Leon Jakirović,17,Croatia,Dinamo Zagreb,"CB, LB",61,82,975000,2000,66.0,48.0,59.0,63.0,58.0,65.0,190,76,Left
M. Al Thani,Mohamed Al Thani,28,Saudi Arabia,Al Qadsiah FC,"RB, RM",61,61,300000,6000,80.0,53.0,54.0,64.0,51.0,56.0,174,64,Left
J. Garner,Joseph Alan Garner,37,England,Oldham Athletic,ST,59,59,80000,500,44.0,62.0,53.0,59.0,44.0,63.0,178,74,Right
T. Gomis,Tidiam Diadie Stephan Gomis,18,France,RB Leipzig,"LM, RM, ST, LW",68,85,3100000,13000,85.0,55.0,59.0,73.0,30.0,54.0,183,71,Right
M. Alli,Millenic Oluwole Sulaiman Alli,25,Republic of Ireland,Luton Town,"ST, CAM, LM, CM",67,70,1400000,2000,85.0,65.0,52.0,67.0,24.0,67.0,181,78,Right
T. Eisenhuth,Tobias Eisenhuth,23,Germany,Viktoria Köln,"CDM, CM",62,69,750000,550,57.0,47.0,60.0,59.0,60.0,69.0,183,83,Right
A. Touré,Al Hassan Touré,25,Australia,Sydney FC,"RM, LM, ST, RW",63,66,625000,2000,85.0,59.0,56.0,63.0,31.0,68.0,185,82,Right
E. Barsoum,Elias Barsoum,22,Sweden,Degerfors IF,"RW, LW, LM, RM",62,71,900000,950,81.0,54.0,56.0,63.0,47.0,58.0,177,71,Right
W. Urbański,Wojciech Urbański,20,Poland,Legia Warszawa,CM,62,77,950000,2000,61.0,57.0,65.0,64.0,41.0,56.0,184,75,Right
M. De Luca,Manuel De Luca,26,Italy,Cremonese,ST,69,70,1700000,7000,52.0,70.0,54.0,63.0,34.0,72.0,192,82,Right
S. Meuer,Steffen Meuer,25,Germany,MSV Duisburg,"CAM, CM, CDM",64,69,850000,600,71.0,64.0,58.0,65.0,32.0,68.0,186,77,Left
A. Bouwman,Aaron Bouwman,17,Netherlands,Ajax,CB,65,83,1700000,2000,64.0,50.0,53.0,57.0,65.0,65.0,188,71,Right
S. van Ottele,Syb van Ottele,23,Netherlands,Fortuna Sittard,"CB, CDM",67,75,2100000,4000,61.0,55.0,50.0,49.0,68.0,73.0,185,78,Right
G. Eyjólfsson,Gísli Eyjólfsson,31,Iceland,Halmstads BK,"CM, RM, CDM",63,63,400000,1000,59.0,56.0,57.0,62.0,55.0,63.0,180,77,Right
Lee Hyun Ju,Hyun-ju Lee이현주,22,Korea Republic,FC Arouca,"CAM, RM, CM",69,76,2800000,5000,69.0,57.0,65.0,74.0,32.0,53.0,172,68,Right
L. D'Andrea,Luca D'Andrea,20,Italy,Avellino,"RM, RW, CAM",64,76,1400000,4000,76.0,58.0,59.0,70.0,34.0,51.0,173,69,Left
Iuliano Alfaro,Iuliano Wagner Alfaro Azevedo,33,Brazil,Grêmio,"ST, LM, CAM",64,64,375000,6000,56.0,68.0,53.0,67.0,27.0,62.0,177,72,Left
D. Coppola,Diego Coppola,21,Italy,Brighton & Hove Albion,CB,74,81,8000000,43000,52.0,40.0,56.0,60.0,75.0,72.0,192,78,Right
Korede Osundina,Oluwakorede David Osundina,21,United States,Casa Pia,"LW, RW, CAM, LM",64,74,1300000,2000,79.0,69.0,55.0,62.0,28.0,58.0,183,75,Right
P. Mainka,Patrick Mainka,30,Germany,1. FC Heidenheim 1846,CB,76,76,6000000,29000,46.0,40.0,51.0,53.0,78.0,81.0,194,86,Right
L. Dajaku,Leon Dajaku,24,Germany,SSV Ulm 1846,"RM, CAM, ST, RW",65,68,975000,750,76.0,60.0,60.0,66.0,21.0,63.0,180,75,Right
H. Forster,Harry Forster,25,England,Crawley Town,"LM, LB, RM, LW",60,63,325000,650,71.0,54.0,55.0,60.0,52.0,58.0,173,66,Right
N. Mendy,Nobel Mendy,20,France,Rayo Vallecano,"CB, LB",66,74,1800000,7000,65.0,44.0,57.0,56.0,64.0,68.0,187,78,Left
Diogo Batista,Diogo José Branco Batista,25,Portugal,FC Hermannstadt,"CM, CAM, CDM",63,67,675000,1000,61.0,56.0,62.0,62.0,48.0,60.0,184,75,Right
M. Clarke,Matthew Edward Barkell Clarke,28,England,Derby County,CB,72,73,2200000,14000,49.0,37.0,53.0,62.0,72.0,78.0,185,83,Left
Z. Sapsford,Zachary Albert Sapsford,22,Australia,Dundee United FC,"ST, CAM, CM",66,75,1900000,3000,83.0,65.0,52.0,66.0,33.0,58.0,185,70,Right
M. Jørgensen,Mathias Jørgensen,24,Denmark,FK Bodø/Glimt,"LW, RW, ST, LM",66,69,1200000,3000,82.0,64.0,58.0,65.0,28.0,61.0,185,70,Right
F. Stevens,Finley John Stevens,22,Wales,FC St. Pauli,"RB, RM",63,72,1000000,5000,62.0,44.0,60.0,63.0,59.0,62.0,179,73,Right
F. Stuparević,Filip StuparevicФилип Ступаревић,24,Serbia,Motherwell FC,ST,63,66,675000,2000,68.0,62.0,54.0,62.0,30.0,67.0,184,80,Left
J. Bourgault,Justin Bourgault,19,France,Stade Brestois 29,"LB, LM",65,76,1500000,5000,62.0,43.0,54.0,59.0,62.0,65.0,185,73,Left
J. Grieves,Jack Grieves,20,England,Watford,"RM, CM, ST, RW",57,73,425000,4000,73.0,56.0,53.0,54.0,49.0,63.0,180,75,Right
G. Luján,Gonzalo Luján Melli,24,Argentina,Inter Miami,"CB, RB, RM",69,76,2600000,4000,62.0,34.0,56.0,59.0,69.0,76.0,182,82,Right
I. Diop,Issa Laye Lucas Jean Diop,28,France,Fulham FC,CB,76,77,7000000,66000,57.0,37.0,53.0,55.0,77.0,78.0,194,92,Right
